Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,label_multiclass,label_binary
19.2,6,82.2,206.84216,0.0,0.0,0.0,0.2,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1,0.0,0.0,0.9,0.9,1418.0,60.0,339.0,141.8,94.3278,141.8,0.0050487043,10.0,8897.733,Benign,0
32.8,6,213.8,1682.9725,0.0,0.1,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,668.0,66.0,74.0,66.8,2.529822,66.8,0.00071718695,10.0,6.4,Benign,0
28.4,6,97.2,67.35955,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1248.0,66.0,214.0,124.8,50.77576,124.8,0.015001202,10.0,2578.1777,Benign,0
32.0,6,214.8,239.85406,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660.0,66.0,66.0,66.0,0.0,66.0,0.005331111,10.0,0.0,Benign,0
29.6,6,83.1,613.0858,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,15288.0,66.0,7306.0,1528.8,2354.9475,1528.8,0.0020077943,10.0,5545778.0,Benign,0
32.0,6,64.0,331.81735,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14328.0,217.0,1999.0,1432.8,453.56607,1432.8,0.0030288934,10.0,205722.17,Benign,0
15.2,17,80.5,101.975266,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1269.0,60.0,345.0,126.9,116.39631,126.9,0.009914207,10.0,13548.1,Benign,0
32.0,6,64.0,445.1796,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16588.0,1514.0,2962.0,1658.8,457.8978,1658.8,0.0022620917,10.0,209670.4,Benign,0
15.2,17,75.8,100.592476,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1272.0,60.0,345.0,127.2,116.99744,127.2,0.00995028,10.0,13688.4,Benign,0
29.6,6,114.1,82.326164,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,4222.0,66.0,2706.0,422.2,816.73505,422.2,0.014335108,10.0,667056.2,Benign,0
